name,latitude,longitude
Burger King,38.428141,-122.741898
Dairy Queen,45.910634,-122.740636
McDonald's,45.586771,-122.738535
Chipotle Mexican Grill,38.45926,-122.73138
Denny's,38.45963,-122.7271
Pizza Hut,45.582385,-122.722979
McDonald's,44.3996,-122.7203
Don Taylor's Omelette Express,38.43742,-122.72004
Jackson's Bar & Oven,38.438133,-122.71971
Baja Fresh Mexican Grill,38.462241,-122.717786
Big Town Hero,42.198,-122.7164
Taco Time,44.399849,-122.715545
Canevari's Delicatessen Catering,38.462074,-122.71465
Oak & Olive,45.4676,-122.7146
Subway,38.361959,-122.714397
Burger King,38.41107,-122.713875
Taco Time,45.457027,-122.713696
In-N-Out Burger,38.361249,-122.713603
Wendy's,45.45723,-122.71307
Sweet Ts Restaurant Bar,38.486451,-122.709192
Popeyes Chicken and Biscuits,38.349539,-122.709102
Jack in the Box,45.46144,-122.70624
Burger King,45.255844,-122.705158
Panda Express,45.2571,-122.7026
Arby's,45.577403,-122.699428
McDonald's,45.25874,-122.69935
Nattamit Thai Restaurant,47.64489,-122.6983
Dairy Queen,45.259865,-122.698201
Subway,42.1875,-122.6953
Subway,45.523399,-122.694857
Famous Dave's,47.65678,-122.69434
Taco Time,47.6505,-122.6934
Ma's Restaurant,44.40371,-122.69126
Pizza Hut,47.651923,-122.690769
Jimmy John's,45.52292,-122.69021
Jimmy John's,45.52292,-122.69021
Taco Bell,47.65025,-122.690006
McDonald's,45.523,-122.689866
